Sheet_Row,Brand_Name,Generic_Name,Composition,Manufacturer
5034,"XYCOVIT GOLD  XYCOVIT GOLD","Omega 3 Fatty acid Eicosapentaenoic Acid,Docosahexaenoic Acid,Alpha Lipoic Acid Vitamins ,Betacarotene ,Zinc ,Selenium & Chromium Softgel Capsules","",""
5035,"LYKOLIK SYRUP  LYKOLIK SYRUP","Lycopene,Multivitamin,Multimineral & Antioxidants syrup","Lycopene Multivitamin,Multimineral& Antioxidants Syrup 2500mcg +600mcg+ 35mcg+2mg+3mg+100mcg+500mcg+2mg+3mg+1.5mg","Nuliek Heathcare"
5036,"ORKOVITA GOLD  ORKOVITA GOLD","Softgel capsules of Ginseng,Green Tea Extract, Grape seed Extract,Ginkgo Biloba,Omega -3 Fatty Acid, Antioxidants,Vitamins,Minerals,Trace Elements & Essential Amino Acid","","ORKO Pharmaceuticals private lLimited"
5043,"CONTIZOLE-100 CONTIZOLE-100","Itraconazole Capsules","Itraconazole Capsules","meridus Pharmaceuticals"
5049,"Codil-LS Juniour  Codil-LS Juniour","Levosalbutamol,Ambroxol Hydrochloride & Guaiphenesin syrup  Levosalbutamol,Ambroxol Hydrochloride& Guaiphenesin syrup","","Arvincare"
5050,"ULTICOOL RAFT  ULTICOOL RAFT","Sodium Alginate,Sodium Bicarbonate& Calcium Carbonate oral Suspension Sodium Alginate, Sodium Bicarbonate & Calcium Carbonate oral sus","","meridus Pharmaceuticals"
5053,"Adiphylin 400      Adiphylin 400","Doxofyline Tablets IP 400 mg","Doxofyline Tablets IP 400  mg","Iosons Lifecare"
5059,"ORKOMYNTH-NT    ORKOMYNTH-NT","Pregabalin,Methylcobalamin & Nortriptyline Tablets","Pregabalin,Methylcobalamin& Nortriptyline Tablets","ORKO Pharmaceuticals private lLimited"
5063,"LULIFAR LOTION   LULIFAR LOTION","Luliconazole Lotion 1% W/ V","Luliconazole Lotion 1%W/V","Farlex Pharmaceuticals"
5074,"GUTLACSPORE   GUTLACSPORE","Bacillus Clausii Spores Suspension","Bacillus Clausii Spores Suspension","Iosons Lifecare"
5076,"RUGBY-DSR      RUGBY-DSR","","","Iosons Lifecare"
5077,"BIOSOLIV-300     BIOSOLIV -300","Ursodeoxycholic Acid Tablets IP","Ursodeoxycholic Acid Tablets IP","Iosons Lifecare"
5082,"Moxicilin cv-625  Moxcilin CV-625","Amoxycillin & Potassium Clavulanate Tablets IP","Amoxycillin & Potassium Clavulanate Tablets IP","Meridus Pharmaceuticals"
5119,"HALPAN-DSR     HALPAN-DSR","Pantoprazole Gastro-Resistant & Domperidone Capsules IP    Pantoprazole Gastro-Resistant & Domperidone Capsules IP","","BIOBRICK PHARMA"
5129,"Goldclav-LB 625   Goldclav-LB 625","Amoxycillin,Potassium Clavulanate&Lactic Acid Bacillus Tab","Amoxycillin,Potassium Clavulanate& Lactic Acid Bacillus Tablets","Foregen Healthcare LTD"
5130,"Methiboost-Tdon    Methiboost-Tdon","Chondroitin Sulphate,collagen Peptide Type 1,Sodium Hyaluronate,Vitamin C& Vitamin D3 Tablets","","Meridus Pharmaceuticals"
5141,"MYSCOM-LC       MYSCOM-LC","L-Carnitine L-Tartrate,Methylcobalamin&Folic Acid Tablets","L-Carnitine L-Tartrate,Methylcobalamin&Folic Acid Tablets","Scazon Healthcare"
5149,"XANTHALIN-N    XANTHALIN-N","Acebrophylline&Acetylcysteine Tablets","Acebrophylline & Acetylcysteine Tablets","Medimind"
5150,"Primogen -E        Primogen-E","","","AMAGEN PHARMA"
5156,"Cefumax-250       Cefumax-250","Cefuroxime Axetil Tablets IP","Cefuroxime Axetil Tablets IP","Iosons Lifecare"
5174,"Baroliv","Silymarin,L-Ornithine L-Aspartate,Tricholine Citrate&Multivitamins Suspension","","BARODA PHARMA PVT.LTD"
5175,"ORKORAB DSR   ORKORAB DSR","","","ORKO Pharmaceuticals"
5180,"CALCIPURE-60K    CALCIPURE-60K","Cholecalciferol 60000 IU Soft gelatin Capsules","Cholecalciferol 60000 IU Soft gelatin Capsules","Iosons Lifecare"
5187,"Calci Pure-XT    Calci-Pure-XT","","","Iosons Lifecare"
5191,"ACYTON-PLUS  ACYTON-PLUS","Ibuprofen&Paracetamol Suspension","Ibuprofen& Paracetamol Suspension","Biobrick PHARMA"
5193,"BRACEPRO HEPA      BRACEPRO HEPA","Whey protein,Leucine,Isoleucine and Valine Sachet","Whey protein,Leucine, Isoleucine and Valine Sachet","REBRACE PHARMACEUTICALS"
5194,"TENDOHARD    TENDOHARD","","","ORKO Pharmaceuticals"
5198,"BAROHIST-AC  BAROHIST-AC","Phenylephrine Hydrochloride&chlorpheniramine Maleate Syrup IP  Phenylephrine Hydrochloride&chlorpheniramine Maleate Syrup IP","","BARODA PHARMA PVT.LTD"
5218,"CARNISURE-500 CARNISURE-500","Levocarnitine Tablets I.P.","Levocarnitine Tablets I.P.","Torrent Pharma"
